id,area,date,start_time,end_time,duration_minutes,reason,voltage_level,reported_by,is_planned
29,Rajendra Nagar,2024-05-28,04:15,09:49,334,Transformer Failure,33kV,Social Media,0
30,Patancheru,2023-12-19,12:45,16:55,250,Network Expansion,11kV,TSECL Website,1
31,Patancheru,2023-10-01,17:45,22:43,298,Weather Damage,33kV,Telangana DISCOM App,0
32,Shamshabad,2023-12-12,17:00,21:07,247,Scheduled Maintenance,11kV,TSECL Website,1
33,Punjagutta,2024-05-27,23:15,01:09,114,Line Fault,11kV,Telangana DISCOM App,0
34,Raidurg,2024-04-26,13:45,17:36,231,Scheduled Maintenance,33kV,Telangana DISCOM App,1
35,Tarnaka,2024-05-21,09:00,15:55,415,Scheduled Maintenance,33kV,Consumer Call,1
36,Kukatpally,2023-07-30,09:30,14:53,323,Load Shedding,11kV,Telangana DISCOM App,0
37,Banjara Hills,2024-06-25,17:45,19:30,105,Load Shedding,11kV,Telangana DISCOM App,0
38,Boduppal,2023-11-20,19:30,23:09,219,Equipment Upgrade,11kV,Telangana DISCOM App,1
39,Tolichowki,2024-06-30,11:45,18:57,432,Scheduled Maintenance,11kV,TSECL Website,1
40,Begumpet,2024-05-17,23:15,01:06,111,Line Fault,33kV,Telangana DISCOM App,0
41,Khairatabad,2024-02-16,11:15,13:24,129,Scheduled Maintenance,33kV,Telangana DISCOM App,1
42,Patancheru,2024-04-21,12:15,13:40,85,Equipment Upgrade,11kV,Telangana DISCOM App,1
43,Kothapet,2024-01-20,10:45,15:14,269,Grid Overload,11kV,Telangana DISCOM App,0
44,Boduppal,2024-02-12,18:00,21:37,217,Line Fault,11kV,Telangana DISCOM App,0
45,Yapral,2023-07-04,15:00,19:55,295,Weather Damage,11kV,Telangana DISCOM App,0
46,Malkajgiri,2023-10-23,19:00,19:46,46,Line Fault,33kV,Telangana DISCOM App,0
47,Malkajgiri,2024-01-25,13:45,20:43,418,Scheduled Maintenance,11kV,Consumer Call,1
48,Uppal,2024-03-18,08:15,09:51,96,Network Expansion,11kV,Telangana DISCOM App,1
49,Gandipet,2024-05-20,17:15,21:25,250,Network Expansion,11kV,Telangana DISCOM App,1
50,Hitech City,2024-02-20,10:15,15:00,285,Scheduled Maintenance,33kV,Consumer Call,1
51,Sanath Nagar,2024-06-08,10:15,16:07,352,Scheduled Maintenance,11kV,Telangana DISCOM App,1
52,Ameerpet,2024-01-16,08:30,10:27,117,Equipment Upgrade,33kV,Telangana DISCOM App,1
53,Tarnaka,2023-09-14,08:00,13:50,350,Load Shedding,132kV,Telangana DISCOM App,0
54,Tarnaka,2023-12-20,14:30,15:05,35,Transformer Failure,33kV,TSECL Website,0
55,Bowenpally,2023-12-17,19:45,20:25,40,Scheduled Maintenance,11kV,Social Media,1
56,Begumpet,2023-08-04,12:00,16:05,245,Equipment Upgrade,11kV,TSECL Website,1
57,Shamshabad,2023-12-12,12:30,14:01,91,Scheduled Maintenance,11kV,TSECL Website,1
58,Banjara Hills,2024-05-07,17:00,22:14,314,Scheduled Maintenance,11kV,Telangana DISCOM App,1
59,Dilsukhnagar,2024-03-07,11:00,12:52,112,Weather Damage,33kV,Consumer Call,0
60,Secunderabad,2023-07-03,20:45,00:10,205,Line Fault,33kV,Social Media,0
61,Serilingampally,2023-08-25,14:30,19:37,307,Scheduled Maintenance,11kV,Telangana DISCOM App,1
62,Himayatnagar,2024-03-29,19:00,01:48,408,Network Expansion,33kV,Social Media,1
63,Ameerpet,2024-01-07,22:45,00:12,87,Transformer Failure,33kV,Social Media,0
64,Habsiguda,2023-12-11,13:00,16:56,236,Network Expansion,11kV,Consumer Call,1
65,Secunderabad,2024-04-15,15:45,22:26,401,Equipment Upgrade,33kV,Consumer Call,1
66,Shamirpet,2024-04-14,18:30,22:19,229,Scheduled Maintenance,11kV,Consumer Call,1
67,Gandipet,2024-04-12,08:30,09:34,64,Transformer Failure,33kV,Telangana DISCOM App,0
68,Malkajgiri,2023-09-07,11:45,16:18,273,Scheduled Maintenance,33kV,TSECL Website,1
69,Shamirpet,2024-05-13,17:15,23:20,365,Equipment Upgrade,11kV,Telangana DISCOM App,1
70,Abids,2024-03-19,22:45,01:29,164,Transformer Failure,11kV,Telangana DISCOM App,0
71,Charminar,2023-12-14,18:30,23:59,329,Network Expansion,33kV,Consumer Call,1
72,Raidurg,2024-03-13,14:45,18:27,222,Network Expansion,11kV,TSECL Website,1
73,Vidyanagar,2023-11-05,23:15,02:45,210,Weather Damage,11kV,Consumer Call,0
74,Chandanagar,2023-10-26,08:15,15:27,432,Scheduled Maintenance,11kV,TSECL Website,1
75,Madhapur,2024-01-25,11:00,13:04,124,Scheduled Maintenance,11kV,TSECL Website,1
76,Punjagutta,2023-09-05,06:30,07:03,33,Grid Overload,11kV,Telangana DISCOM App,0
77,Boduppal,2024-05-26,10:00,15:11,311,Line Fault,11kV,Telangana DISCOM App,0
78,Habsiguda,2024-02-08,10:00,17:29,449,Scheduled Maintenance,11kV,Telangana DISCOM App,1
79,Abids,2024-02-10,11:30,15:29,239,Scheduled Maintenance,11kV,Telangana DISCOM App,1
80,Tolichowki,2023-07-28,06:00,09:43,223,Transformer Failure,33kV,Telangana DISCOM App,0
81,Zahirabad,2023-10-13,19:00,23:58,298,Scheduled Maintenance,11kV,Telangana DISCOM App,1
82,Hitech City,2023-08-05,17:15,00:38,443,Equipment Upgrade,11kV,Telangana DISCOM App,1
83,Kondapur,2023-11-10,21:15,21:46,31,Line Fault,11kV,TSECL Website,0
84,Madhapur,2024-02-26,03:30,05:28,118,Weather Damage,33kV,Consumer Call,0
85,Serilingampally,2023-07-17,07:15,11:40,265,Weather Damage,33kV,Telangana DISCOM App,0
86,Golconda,2023-08-17,11:15,15:47,272,Scheduled Maintenance,11kV,Telangana DISCOM App,1
87,Lingampally,2023-12-29,09:15,14:15,300,Equipment Upgrade,11kV,TSECL Website,1
88,Bowenpally,2024-05-07,04:00,05:50,110,Grid Overload,11kV,TSECL Website,0
89,Lingampally,2023-07-03,11:45,19:15,450,Scheduled Maintenance,11kV,Consumer Call,1
90,Nampally,2024-05-02,19:00,00:06,306,Line Fault,11kV,Social Media,0
91,Alwal,2024-02-06,18:15,21:39,204,Scheduled Maintenance,11kV,Telangana DISCOM App,1
92,Quthbullapur,2023-07-31,15:30,19:09,219,Transformer Failure,11kV,Consumer Call,0
93,Quthbullapur,2024-04-15,09:15,14:47,332,Grid Overload,11kV,Telangana DISCOM App,0
94,Yapral,2024-06-20,01:30,06:47,317,Line Fault,11kV,Telangana DISCOM App,0
95,Chandanagar,2024-03-08,01:00,03:10,130,Load Shedding,11kV,Telangana DISCOM App,0
96,Abids,2024-02-20,15:45,20:09,264,Network Expansion,33kV,Social Media,1
97,Bowenpally,2024-06-04,09:00,09:48,48,Scheduled Maintenance,33kV,TSECL Website,1
98,Yapral,2023-11-19,13:00,15:03,123,Network Expansion,33kV,TSECL Website,1
99,Dilsukhnagar,2024-06-04,20:30,23:34,184,Transformer Failure,33kV,Telangana DISCOM App,0
100,Moula Ali,2024-03-27,08:15,11:17,182,Scheduled Maintenance,11kV,TSECL Website,1
101,Tolichowki,2023-07-10,17:30,21:28,238,Equipment Upgrade,11kV,Telangana DISCOM App,1
102,Banjara Hills,2024-03-05,12:00,16:13,253,Scheduled Maintenance,33kV,Telangana DISCOM App,1
103,Secunderabad,2023-08-13,05:30,05:49,19,Load Shedding,33kV,Consumer Call,0
104,Shamshabad,2023-11-17,12:45,19:31,406,Scheduled Maintenance,11kV,Consumer Call,1
105,Kothapet,2023-09-08,22:30,04:17,347,Line Fault,11kV,TSECL Website,0
106,Khairatabad,2023-11-15,15:00,17:22,142,Grid Overload,11kV,Telangana DISCOM App,0
107,Punjagutta,2024-02-10,18:45,19:28,43,Equipment Upgrade,11kV,TSECL Website,1
108,Serilingampally,2024-02-10,10:30,14:36,246,Equipment Upgrade,33kV,Telangana DISCOM App,1
109,Tolichowki,2024-06-06,16:30,00:26,476,Equipment Upgrade,11kV,Telangana DISCOM App,1
110,Chandanagar,2023-10-25,20:15,21:12,57,Transformer Failure,11kV,Consumer Call,0
111,Secunderabad,2024-01-12,12:30,17:25,295,Network Expansion,33kV,TSECL Website,1
112,Lingampally,2023-10-08,12:00,17:44,344,Equipment Upgrade,11kV,TSECL Website,1
113,Madhapur,2024-01-22,09:45,11:40,115,Scheduled Maintenance,33kV,Telangana DISCOM App,1
114,LB Nagar,2024-04-06,18:00,20:47,167,Equipment Upgrade,33kV,Social Media,1
115,Quthbullapur,2024-04-12,20:00,00:43,283,Weather Damage,33kV,TSECL Website,0
116,Rajendra Nagar,2024-04-03,22:45,23:22,37,Load Shedding,11kV,Telangana DISCOM App,0
117,Gachibowli,2023-09-19,19:45,02:04,379,Scheduled Maintenance,11kV,Consumer Call,1
118,Manikonda,2023-07-12,19:00,23:58,298,Scheduled Maintenance,11kV,TSECL Website,1
119,LB Nagar,2024-03-04,10:00,17:24,444,Network Expansion,11kV,Consumer Call,1
120,Punjagutta,2023-08-09,06:30,09:09,159,Weather Damage,11kV,Telangana DISCOM App,0
121,Miyapur,2023-08-25,10:45,14:20,215,Line Fault,11kV,TSECL Website,0
122,Gandipet,2024-02-13,18:30,01:03,393,Network Expansion,11kV,Telangana DISCOM App,1
123,Hitech City,2024-03-31,05:00,08:28,208,Transformer Failure,33kV,Consumer Call,0
124,As Rao Nagar,2023-09-07,11:00,14:17,197,Network Expansion,11kV,TSECL Website,1
125,Uppal,2023-12-14,23:00,00:02,62,Line Fault,11kV,Consumer Call,0
126,Kothapet,2023-08-23,13:45,19:06,321,Equipment Upgrade,33kV,TSECL Website,1
127,Zahirabad,2024-02-23,09:45,17:23,458,Equipment Upgrade,11kV,TSECL Website,1
128,Vidyanagar,2024-04-13,04:15,07:58,223,Line Fault,33kV,Social Media,0
129,Ameerpet,2023-10-04,02:30,05:30,180,Line Fault,11kV,Telangana DISCOM App,0
130,Habsiguda,2024-05-06,12:15,16:29,254,Network Expansion,11kV,Telangana DISCOM App,1
131,Dilsukhnagar,2023-10-21,12:00,14:13,133,Scheduled Maintenance,11kV,Telangana DISCOM App,1
132,Raidurg,2023-08-11,12:15,18:11,356,Weather Damage,11kV,TSECL Website,0
133,Vidyanagar,2024-04-28,15:00,16:53,113,Equipment Upgrade,11kV,Consumer Call,1
134,Rajendra Nagar,2023-12-31,00:15,06:07,352,Grid Overload,11kV,Telangana DISCOM App,0
135,Khairatabad,2023-10-24,12:15,13:54,99,Network Expansion,33kV,TSECL Website,1
136,Nampally,2024-01-01,18:45,20:06,81,Transformer Failure,132kV,TSECL Website,0
137,Vanasthalipuram,2023-10-07,13:30,16:36,186,Equipment Upgrade,11kV,TSECL Website,1
138,Gandipet,2024-06-22,13:45,20:04,379,Equipment Upgrade,11kV,Social Media,1
139,Lingampally,2024-03-17,15:00,22:45,465,Equipment Upgrade,11kV,Telangana DISCOM App,1
140,Vanasthalipuram,2024-03-21,21:15,02:15,300,Weather Damage,33kV,Consumer Call,0
141,LB Nagar,2023-11-19,17:30,18:27,57,Scheduled Maintenance,11kV,Consumer Call,1
142,Rajendra Nagar,2023-11-05,13:15,15:17,122,Equipment Upgrade,132kV,Consumer Call,1
143,Golconda,2023-11-30,19:30,23:15,225,Grid Overload,11kV,Consumer Call,0
144,Kothapet,2024-06-20,23:45,04:24,279,Load Shedding,11kV,Telangana DISCOM App,0
145,Chandanagar,2023-08-10,16:30,23:53,443,Network Expansion,11kV,Consumer Call,1
146,Sanath Nagar,2024-04-20,10:00,11:40,100,Network Expansion,11kV,Telangana DISCOM App,1
147,Gachibowli,2024-04-10,08:30,11:57,207,Equipment Upgrade,33kV,Telangana DISCOM App,1
148,Kukatpally,2023-07-12,06:30,10:09,219,Transformer Failure,33kV,Social Media,0
149,Vanasthalipuram,2023-08-14,12:15,19:14,419,Equipment Upgrade,33kV,Social Media,1
150,Ameerpet,2023-07-19,21:45,00:00,135,Load Shedding,33kV,TSECL Website,0
151,Begumpet,2024-03-20,17:00,23:30,390,Scheduled Maintenance,33kV,TSECL Website,1
152,Patancheru,2023-07-23,18:30,22:10,220,Equipment Upgrade,11kV,TSECL Website,1
153,Bowenpally,2024-01-23,07:15,09:07,112,Line Fault,11kV,Consumer Call,0
154,Miyapur,2023-12-27,04:00,09:08,308,Transformer Failure,11kV,Social Media,0
155,Nampally,2024-04-05,14:15,17:12,177,Weather Damage,33kV,Telangana DISCOM App,0
156,Manikonda,2023-12-11,19:45,21:18,93,Network Expansion,33kV,Telangana DISCOM App,1
157,Gandipet,2024-01-15,09:15,17:08,473,Scheduled Maintenance,11kV,Consumer Call,1
158,Bowenpally,2023-07-05,16:30,23:55,445,Scheduled Maintenance,11kV,TSECL Website,1
159,Yapral,2024-04-25,09:00,10:34,94,Transformer Failure,33kV,Telangana DISCOM App,0
160,Nampally,2023-12-27,22:00,03:18,318,Weather Damage,11kV,Social Media,0
161,KPHB,2023-12-31,13:15,17:30,255,Scheduled Maintenance,11kV,Telangana DISCOM App,1
162,Punjagutta,2024-03-30,08:30,15:25,415,Scheduled Maintenance,11kV,Telangana DISCOM App,1
163,Zahirabad,2023-12-06,23:00,04:27,327,Transformer Failure,33kV,Telangana DISCOM App,0
164,Malkajgiri,2024-03-07,17:45,20:24,159,Equipment Upgrade,11kV,TSECL Website,1
165,Ameerpet,2024-06-01,19:15,22:37,202,Scheduled Maintenance,132kV,Consumer Call,1
166,KPHB,2023-10-12,09:00,14:25,325,Scheduled Maintenance,11kV,TSECL Website,1
167,Patancheru,2023-08-20,22:45,23:49,64,Line Fault,11kV,TSECL Website,0
168,LB Nagar,2024-02-16,21:15,01:59,284,Weather Damage,33kV,Telangana DISCOM App,0
169,Abids,2023-07-29,02:00,02:54,54,Weather Damage,132kV,Telangana DISCOM App,0
170,Gandipet,2023-11-29,12:15,16:21,246,Line Fault,11kV,Telangana DISCOM App,0
171,LB Nagar,2024-06-25,16:00,20:27,267,Weather Damage,33kV,TSECL Website,0
172,Serilingampally,2023-08-17,12:45,20:27,462,Network Expansion,132kV,TSECL Website,1
173,Secunderabad,2024-06-28,09:45,15:25,340,Equipment Upgrade,33kV,Telangana DISCOM App,1
174,Alwal,2024-03-07,08:00,09:40,100,Transformer Failure,11kV,TSECL Website,0
175,Nallagandla,2024-05-26,13:45,17:05,200,Network Expansion,33kV,TSECL Website,1
176,Hitech City,2023-10-14,14:45,19:32,287,Equipment Upgrade,11kV,Telangana DISCOM App,1
177,Uppal,2023-12-16,03:15,03:30,15,Load Shedding,132kV,TSECL Website,0
178,Shamshabad,2024-03-13,13:30,14:53,83,Line Fault,11kV,Telangana DISCOM App,0
179,KPHB,2024-01-26,19:15,20:49,94,Network Expansion,33kV,Telangana DISCOM App,1
180,Malkajgiri,2023-09-24,16:15,19:51,216,Equipment Upgrade,33kV,Social Media,1
181,Kondapur,2023-11-28,08:45,14:41,356,Scheduled Maintenance,11kV,Social Media,1
182,Patancheru,2024-05-12,09:15,13:01,226,Network Expansion,33kV,TSECL Website,1
183,Sanath Nagar,2024-05-03,08:30,14:28,358,Network Expansion,11kV,Telangana DISCOM App,1
184,Abids,2023-08-14,15:45,22:31,406,Scheduled Maintenance,11kV,TSECL Website,1
185,Kukatpally,2023-12-12,17:15,19:08,113,Transformer Failure,11kV,Telangana DISCOM App,0
186,Sanath Nagar,2024-02-08,12:45,15:32,167,Scheduled Maintenance,33kV,TSECL Website,1
187,Khairatabad,2023-12-15,18:30,23:13,283,Grid Overload,11kV,TSECL Website,0
188,Madhapur,2024-01-30,09:00,12:11,191,Equipment Upgrade,11kV,Telangana DISCOM App,1
189,Bowenpally,2024-01-18,17:45,19:29,104,Equipment Upgrade,11kV,Consumer Call,1
190,Yapral,2024-05-18,10:30,14:55,265,Network Expansion,11kV,Telangana DISCOM App,1
191,Quthbullapur,2023-12-11,16:30,20:23,233,Scheduled Maintenance,33kV,TSECL Website,1
192,Tolichowki,2024-01-01,18:15,19:59,104,Scheduled Maintenance,132kV,TSECL Website,1
193,Charminar,2024-01-12,14:00,16:25,145,Scheduled Maintenance,11kV,Telangana DISCOM App,1
194,Vanasthalipuram,2024-05-21,12:15,14:31,136,Scheduled Maintenance,11kV,Consumer Call,1
195,Punjagutta,2024-05-21,16:15,19:22,187,Scheduled Maintenance,33kV,Telangana DISCOM App,1
196,Ameerpet,2024-03-01,19:15,21:25,130,Load Shedding,11kV,Telangana DISCOM App,0
197,Ameerpet,2024-05-17,19:15,22:22,187,Transformer Failure,33kV,TSECL Website,0
198,LB Nagar,2023-11-03,12:45,18:51,366,Equipment Upgrade,33kV,Consumer Call,1
199,Charminar,2023-12-09,01:15,04:26,191,Line Fault,33kV,Telangana DISCOM App,0
200,Chandanagar,2023-10-15,02:30,08:16,346,Transformer Failure,11kV,Consumer Call,0
201,Manikonda,2023-12-19,18:15,21:42,207,Grid Overload,33kV,Social Media,0
202,Vidyanagar,2023-07-01,01:30,06:04,274,Line Fault,11kV,Telangana DISCOM App,0
203,Quthbullapur,2024-01-11,01:15,02:31,76,Load Shedding,33kV,Telangana DISCOM App,0
204,Ameerpet,2024-02-19,18:45,22:48,243,Line Fault,132kV,TSECL Website,0
205,Vanasthalipuram,2023-10-24,15:00,15:35,35,Scheduled Maintenance,11kV,TSECL Website,1
206,Himayatnagar,2023-10-08,15:00,19:43,283,Network Expansion,132kV,Consumer Call,1
207,Ameerpet,2023-09-16,18:45,23:41,296,Weather Damage,11kV,Telangana DISCOM App,0
208,Vidyanagar,2024-03-07,16:30,20:00,210,Equipment Upgrade,33kV,Telangana DISCOM App,1
209,Lingampally,2023-12-20,11:45,17:38,353,Equipment Upgrade,33kV,Telangana DISCOM App,1
210,Quthbullapur,2024-06-18,18:45,01:03,378,Network Expansion,11kV,Social Media,1
211,Manikonda,2023-11-04,10:00,14:00,240,Network Expansion,11kV,Consumer Call,1
212,Lingampally,2023-08-24,19:30,21:21,111,Load Shedding,11kV,Consumer Call,0
213,Bolarum,2024-02-04,05:00,10:20,320,Transformer Failure,33kV,TSECL Website,0
214,Punjagutta,2024-02-17,03:45,06:03,138,Transformer Failure,132kV,TSECL Website,0
215,Zahirabad,2024-03-01,08:00,08:48,48,Network Expansion,33kV,TSECL Website,1
216,Nampally,2024-05-19,18:15,19:54,99,Scheduled Maintenance,11kV,Consumer Call,1
217,Chandanagar,2024-04-02,00:00,02:43,163,Load Shedding,11kV,TSECL Website,0
218,Secunderabad,2023-10-09,12:15,15:28,193,Equipment Upgrade,11kV,TSECL Website,1
219,Begumpet,2023-11-05,09:15,13:32,257,Transformer Failure,11kV,Consumer Call,0
220,Ameerpet,2024-05-10,13:15,19:45,390,Scheduled Maintenance,11kV,TSECL Website,1
221,Nallagandla,2023-07-18,14:00,19:18,318,Transformer Failure,33kV,Telangana DISCOM App,0
222,Raidurg,2024-02-03,11:30,17:11,341,Equipment Upgrade,11kV,Social Media,1
223,Hitech City,2023-07-18,14:30,17:57,207,Equipment Upgrade,33kV,Telangana DISCOM App,1
224,Chandanagar,2024-03-24,23:15,00:32,77,Grid Overload,33kV,TSECL Website,0
225,Serilingampally,2024-04-21,19:45,23:33,228,Scheduled Maintenance,11kV,TSECL Website,1
226,Khairatabad,2024-01-25,01:15,05:14,239,Grid Overload,33kV,Telangana DISCOM App,0
227,Uppal,2024-02-24,06:45,08:21,96,Load Shedding,11kV,Consumer Call,0
228,Tolichowki,2023-11-08,08:00,12:38,278,Scheduled Maintenance,11kV,Telangana DISCOM App,1
229,Raidurg,2024-02-09,18:30,22:53,263,Equipment Upgrade,11kV,Telangana DISCOM App,1
230,Manikonda,2023-11-30,03:45,05:29,104,Line Fault,11kV,Consumer Call,0
231,Serilingampally,2023-11-03,16:45,23:15,390,Equipment Upgrade,11kV,Telangana DISCOM App,1
232,LB Nagar,2024-02-13,20:00,00:23,263,Load Shedding,132kV,Telangana DISCOM App,0
233,Lingampally,2024-01-22,08:15,12:16,241,Network Expansion,11kV,TSECL Website,1
234,Uppal,2024-05-12,12:15,16:09,234,Equipment Upgrade,11kV,Telangana DISCOM App,1
235,Begumpet,2023-11-07,08:30,11:00,150,Network Expansion,132kV,TSECL Website,1
236,Vanasthalipuram,2023-07-12,11:45,15:12,207,Network Expansion,11kV,Telangana DISCOM App,1
237,Alwal,2024-03-01,18:30,21:14,164,Network Expansion,11kV,Social Media,1
238,Bowenpally,2024-02-01,10:15,15:32,317,Network Expansion,132kV,TSECL Website,1
239,Patancheru,2023-08-05,10:15,16:34,379,Network Expansion,33kV,Telangana DISCOM App,1
240,Nampally,2023-10-30,15:45,21:04,319,Equipment Upgrade,33kV,TSECL Website,1
241,Hitech City,2024-06-03,14:30,20:17,347,Equipment Upgrade,33kV,TSECL Website,1
242,Golconda,2023-07-18,10:15,15:57,342,Network Expansion,11kV,Telangana DISCOM App,1
243,As Rao Nagar,2024-02-09,00:45,01:04,19,Weather Damage,11kV,Telangana DISCOM App,0
244,Vanasthalipuram,2023-08-09,09:00,14:21,321,Equipment Upgrade,33kV,Telangana DISCOM App,1
245,Gandipet,2024-03-03,09:30,11:16,106,Weather Damage,11kV,TSECL Website,0
246,Nallagandla,2023-09-14,14:45,22:01,436,Network Expansion,11kV,TSECL Website,1
247,Patancheru,2023-08-02,17:15,22:33,318,Equipment Upgrade,11kV,Social Media,1
248,Khairatabad,2023-07-15,09:00,13:53,293,Scheduled Maintenance,11kV,Telangana DISCOM App,1
249,Malkajgiri,2024-02-20,08:45,13:37,292,Network Expansion,33kV,TSECL Website,1
250,Zahirabad,2024-04-19,19:00,00:23,323,Network Expansion,33kV,TSECL Website,1
251,Chandanagar,2023-07-04,09:00,12:12,192,Scheduled Maintenance,33kV,TSECL Website,1
252,Abids,2024-03-22,15:00,19:55,295,Equipment Upgrade,33kV,Consumer Call,1
253,Begumpet,2023-07-25,11:30,16:09,279,Grid Overload,33kV,Consumer Call,0
254,Jubilee Hills,2023-10-04,19:00,19:36,36,Scheduled Maintenance,132kV,Telangana DISCOM App,1
255,Charminar,2023-10-25,09:45,11:16,91,Transformer Failure,33kV,Telangana DISCOM App,0
256,Himayatnagar,2023-09-09,10:15,16:52,397,Scheduled Maintenance,11kV,Telangana DISCOM App,1
257,Bowenpally,2023-07-25,08:15,09:31,76,Network Expansion,11kV,Consumer Call,1
258,Patancheru,2024-01-06,23:00,03:57,297,Line Fault,11kV,Telangana DISCOM App,0
259,Madhapur,2024-03-21,09:15,16:55,460,Network Expansion,11kV,Consumer Call,1
260,Secunderabad,2024-03-25,14:45,18:43,238,Line Fault,11kV,TSECL Website,0
261,Boduppal,2023-10-30,17:45,21:19,214,Scheduled Maintenance,33kV,Consumer Call,1
262,Dilsukhnagar,2023-07-29,10:15,13:15,180,Equipment Upgrade,11kV,Telangana DISCOM App,1
263,Kondapur,2023-12-27,09:00,12:14,194,Line Fault,11kV,TSECL Website,0
264,Gachibowli,2024-01-25,09:15,12:02,167,Scheduled Maintenance,11kV,Social Media,1
265,Charminar,2024-05-13,03:30,04:51,81,Weather Damage,11kV,Telangana DISCOM App,0
266,Begumpet,2024-02-15,08:00,15:58,478,Scheduled Maintenance,11kV,Consumer Call,1
267,Banjara Hills,2023-11-21,13:00,16:41,221,Scheduled Maintenance,11kV,Telangana DISCOM App,1
268,Tarnaka,2024-02-01,12:30,17:17,287,Load Shedding,11kV,TSECL Website,0
269,Banjara Hills,2024-06-10,11:15,16:04,289,Scheduled Maintenance,11kV,Consumer Call,1
270,Jubilee Hills,2023-10-26,03:45,04:44,59,Transformer Failure,11kV,Consumer Call,0
271,Dilsukhnagar,2023-09-30,16:30,21:29,299,Equipment Upgrade,11kV,TSECL Website,1
272,Himayatnagar,2024-02-16,02:30,05:00,150,Transformer Failure,33kV,Telangana DISCOM App,0
273,Ameerpet,2024-02-11,19:00,20:41,101,Grid Overload,11kV,Consumer Call,0
274,Bolarum,2023-12-25,08:45,13:00,255,Network Expansion,11kV,Telangana DISCOM App,1
275,Himayatnagar,2024-05-18,20:00,22:35,155,Weather Damage,11kV,Consumer Call,0
276,Patancheru,2023-11-22,19:00,20:06,66,Network Expansion,11kV,TSECL Website,1
277,Bolarum,2023-08-24,18:45,00:21,336,Grid Overload,33kV,Consumer Call,0
278,Punjagutta,2024-02-11,05:45,09:21,216,Transformer Failure,33kV,TSECL Website,0
279,Begumpet,2023-07-01,14:00,18:45,285,Grid Overload,132kV,Telangana DISCOM App,0
280,Hitech City,2024-04-26,07:15,12:33,318,Grid Overload,33kV,Telangana DISCOM App,0
281,Boduppal,2023-08-18,14:30,20:08,338,Scheduled Maintenance,11kV,Telangana DISCOM App,1
282,Moula Ali,2023-10-08,13:15,13:38,23,Line Fault,11kV,TSECL Website,0
283,Golconda,2023-07-20,18:00,18:54,54,Network Expansion,11kV,TSECL Website,1
284,LB Nagar,2023-07-04,05:15,09:50,275,Transformer Failure,33kV,Telangana DISCOM App,0
285,Sanath Nagar,2023-10-01,02:45,06:46,241,Load Shedding,11kV,TSECL Website,0
